Confessions of a Code Addict,https://blog.codingconfessions.com/feed
HackerNoon,https://hackernoon.com/tagged/javascript/feed
web.dev,https://web.dev/static/blog/feed.xml
Sentry Engineering,https://sentry.engineering/
Syntax Tasty Web Development Treats,https://feed.syntax.fm/
JS Party,https://changelog.com/jsparty/feed
John Papa,https://feeds.feedburner.com/johnpapa
Computers Are Bad,https://rss.app/feeds/5oxyL8inWxYFroAu.xml
Hacker News,https://rss.app/feeds/arfPJIdS9SD7fcny.xml
Asana Engineering Blog,https://rss.app/feeds/0hsvUu8hNtdnWwWb.xml
Julia Evans,https://rss.app/feeds/1u03ydbmYJdEyGpx.xml
Spotifys official technology blog,https://engineering.atspotify.com/feed/
Pinterest Engineering Blog,https://medium.com/feed/pinterest-engineering
The Airbnb Tech Blog,https://medium.com/feed/airbnb-engineering
antirez,http://antirez.com/latest/0
The Pragmatic Engineer,https://blog.pragmaticengineer.com/rss/
fasterthanli.me,https://fasterthanli.me/
WePay Engineering Blog,https://wecode.wepay.com/feed.xml
Both Sides of the Table,https://bothsidesofthetable.com/feed
Signal Blog,https://signal.org/blog/rss.xml
The Airtable Engineering Blog,https://medium.com/feed/airtable-eng
Irrational Exuberance,https://lethain.com/feeds/
weinholt.se,https://weinholt.se/
Sachin Rekhi's Blog,http://feeds.feedburner.com/sachinrekhiblog
Work Life by Atlassian,https://developer.atlassian.com/blog/feed.xml
andrewchen,http://andrewchen.co/feed/
Josh W Comeau,https://www.joshwcomeau.com/
OpenAI,https://openrss.org/openai.com/news/
X.com Engineering Blog,https://blog.twitter.com/engineering/en_us/blog.rss
A Collection of Unmitigated Pedantry,https://acoup.blog/
The Cloudflare Blog,https://blog.cloudflare.com/rss/
Web Browser Engineering,https://browser.engineering/rss.xml
Engineering at Meta,https://engineering.fb.com/feed/
The Hacker Factor Blog,https://www.hackerfactor.com/blog/index.php
Daniel Lemire's blog,https://lemire.me/blog/
All Things Distributed,https://www.allthingsdistributed.com/atom.xml
matt.sh,https://matt.sh/.rss
Netflix TechBlog,http://techblog.netflix.com/feeds/posts/default
Stripe Blog,https://stripe.com/blog/feed.rss
Google AI Blog,http://googleresearch.blogspot.com/atom.xml
Max Bernstein's Blog,https://bernsteinbear.com/feed.xml
Sam Altman,http://blog.samaltman.com/posts.atom
Google DeepMind Blog,https://deepmind.com/blog/feed/basic/
Michael Stapelberg's blog,https://michael.stapelberg.ch/posts/
Dropbox Tech Blog,https://dropbox.tech/feed
Steve Blank Innovation and Entrepreneurship,http://steveblank.com/feed/
Amjad Masad,https://amasad.me/rss
Eric Jang,https://evjang.com/feed
Joel on Software,https://www.joelonsoftware.com/feed/
the singularity is nearer,https://geohot.github.io/blog/feed.xml
